source,label,party,target,weight
1,Martin Neumann,FDP,177,1
1,Martin Neumann,FDP,249,1
1,Martin Neumann,FDP,282,1
1,Martin Neumann,FDP,335,1
1,Martin Neumann,FDP,356,1
1,Martin Neumann,FDP,409,2
1,Martin Neumann,FDP,462,1
1,Martin Neumann,FDP,481,1
10,Agnieszka Brugger,Greens,228,1
10,Agnieszka Brugger,Greens,264,1
10,Agnieszka Brugger,Greens,414,1
10,Agnieszka Brugger,Greens,47,1
100,Daniela Wagner,Greens,10,1
100,Daniela Wagner,Greens,184,1
100,Daniela Wagner,Greens,284,1
100,Daniela Wagner,Greens,309,1
100,Daniela Wagner,Greens,430,2
100,Daniela Wagner,Greens,480,2
100,Daniela Wagner,Greens,486,1
101,Dennis Rohde,SPD,166,1
101,Dennis Rohde,SPD,290,2
101,Dennis Rohde,SPD,325,1
101,Dennis Rohde,SPD,335,3
101,Dennis Rohde,SPD,352,1
101,Dennis Rohde,SPD,399,3
101,Dennis Rohde,SPD,486,2
101,Dennis Rohde,SPD,502,5
101,Dennis Rohde,SPD,510,5
103,Andreas Lenz,CSU,119,2
103,Andreas Lenz,CSU,193,1
103,Andreas Lenz,CSU,354,1
103,Andreas Lenz,CSU,454,3
103,Andreas Lenz,CSU,498,1
103,Andreas Lenz,CSU,506,1
103,Andreas Lenz,CSU,53,1
103,Andreas Lenz,CSU,68,1
104,Daniel Föst,FDP,255,1
104,Daniel Föst,FDP,335,2
104,Daniel Föst,FDP,494,1
104,Daniel Föst,FDP,547,2
106,Die Gruenen,Greens,3,2
107,Die Linke,The Left,202,1
107,Die Linke,The Left,259,1
107,Die Linke,The Left,266,3
107,Die Linke,The Left,331,1
107,Die Linke,The Left,385,1
107,Die Linke,The Left,40,2
107,Die Linke,The Left,47,1
107,Die Linke,The Left,516,1
108,Dagmar Schmidt,SPD,118,1
109,Diether Dehm,The Left,110,1
109,Diether Dehm,The Left,298,1
11,Gökay Akbulut,The Left,298,1
110,Dietmar Bartsch,The Left,283,1
112,Dirk Spaniel,AfD,139,1
112,Dirk Spaniel,AfD,7,2
113,Dirk Wiese,SPD,453,1
114,Sabine Dittmar,SPD,453,1
115,Dieter Janecek,Greens,18,1
115,Dieter Janecek,Greens,184,1
115,Dieter Janecek,Greens,252,1
115,Dieter Janecek,Greens,255,1
115,Dieter Janecek,Greens,260,2
115,Dieter Janecek,Greens,283,4
115,Dieter Janecek,Greens,290,1
115,Dieter Janecek,Greens,3,1
115,Dieter Janecek,Greens,309,6
115,Dieter Janecek,Greens,310,1
115,Dieter Janecek,Greens,323,1
115,Dieter Janecek,Greens,33,2
115,Dieter Janecek,Greens,414,1
115,Dieter Janecek,Greens,430,1
115,Dieter Janecek,Greens,44,1
115,Dieter Janecek,Greens,47,1
115,Dieter Janecek,Greens,480,1
115,Dieter Janecek,Greens,509,1
115,Dieter Janecek,Greens,545,1
115,Dieter Janecek,Greens,99,1
116,Bijan Djir-Sarai,FDP,202,1
118,Dorothee Martin,SPD,101,1
118,Dorothee Martin,SPD,166,3
118,Dorothee Martin,SPD,203,1
118,Dorothee Martin,SPD,204,1
118,Dorothee Martin,SPD,229,2
118,Dorothee Martin,SPD,290,2
118,Dorothee Martin,SPD,325,2
118,Dorothee Martin,SPD,384,1
118,Dorothee Martin,SPD,502,2
118,Dorothee Martin,SPD,506,1
118,Dorothee Martin,SPD,68,1
119,Dorothee Bär,CSU,103,4
119,Dorothee Bär,CSU,104,1
119,Dorothee Bär,CSU,193,1
119,Dorothee Bär,CSU,338,2
119,Dorothee Bär,CSU,354,1
119,Dorothee Bär,CSU,36,1
119,Dorothee Bär,CSU,396,1
119,Dorothee Bär,CSU,430,2
119,Dorothee Bär,CSU,454,1
119,Dorothee Bär,CSU,459,1
119,Dorothee Bär,CSU,467,1
119,Dorothee Bär,CSU,522,1
119,Dorothee Bär,CSU,99,1
120,Rainer Kraft,AfD,107,1
120,Rainer Kraft,AfD,110,2
120,Rainer Kraft,AfD,202,1
120,Rainer Kraft,AfD,223,1
120,Rainer Kraft,AfD,232,1
120,Rainer Kraft,AfD,260,2
120,Rainer Kraft,AfD,294,1
120,Rainer Kraft,AfD,376,1
120,Rainer Kraft,AfD,40,2
120,Rainer Kraft,AfD,426,1
120,Rainer Kraft,AfD,430,1
120,Rainer Kraft,AfD,463,1
120,Rainer Kraft,AfD,75,2
120,Rainer Kraft,AfD,77,1
120,Rainer Kraft,AfD,78,1
123,Andreas Nick,CDU,241,1
123,Andreas Nick,CDU,283,2
125,Joe Weingarten,SPD,463,1
125,Joe Weingarten,SPD,68,1
127,Michael Espendiller,AfD,177,1
127,Michael Espendiller,AfD,228,1
127,Michael Espendiller,AfD,232,3
127,Michael Espendiller,AfD,252,2
127,Michael Espendiller,AfD,283,2
127,Michael Espendiller,AfD,376,1
127,Michael Espendiller,AfD,428,1
127,Michael Espendiller,AfD,468,1
129,Harald Ebner,Greens,72,1
131,Ekin Deligöz,Greens,202,1
131,Ekin Deligöz,Greens,215,1
131,Ekin Deligöz,Greens,264,2
131,Ekin Deligöz,Greens,309,1
131,Ekin Deligöz,Greens,414,1
131,Ekin Deligöz,Greens,486,3
131,Ekin Deligöz,Greens,82,1
136,Erhard Grundl,Greens,184,3
137,Klaus Ernst,The Left,340,1
137,Klaus Ernst,The Left,397,1
137,Klaus Ernst,The Left,484,1
138,Erwin Rüddel,CDU,241,2
138,Erwin Rüddel,CDU,260,2
138,Erwin Rüddel,CDU,354,1
138,Erwin Rüddel,CDU,459,1
139,Saskia Esken,SPD,180,1
139,Saskia Esken,SPD,193,1
139,Saskia Esken,SPD,260,1
139,Saskia Esken,SPD,283,1
139,Saskia Esken,SPD,303,1
139,Saskia Esken,SPD,316,2
139,Saskia Esken,SPD,338,1
139,Saskia Esken,SPD,393,1
139,Saskia Esken,SPD,42,2
139,Saskia Esken,SPD,481,1
139,Saskia Esken,SPD,494,2
139,Saskia Esken,SPD,537,1
139,Saskia Esken,SPD,547,1
139,Saskia Esken,SPD,67,2
141,Michael Theurer,FDP,155,1
141,Michael Theurer,FDP,268,1
141,Michael Theurer,FDP,68,1
142,Frank Schäffler,FDP,143,1
142,Frank Schäffler,FDP,288,4
142,Frank Schäffler,FDP,399,1
143,Fabio De Masi,The Left,110,2
143,Fabio De Masi,The Left,141,1
143,Fabio De Masi,The Left,142,1
143,Fabio De Masi,The Left,155,2
143,Fabio De Masi,The Left,168,1
143,Fabio De Masi,The Left,203,1
143,Fabio De Masi,The Left,205,2
143,Fabio De Masi,The Left,229,1
143,Fabio De Masi,The Left,279,1
143,Fabio De Masi,The Left,288,1
143,Fabio De Masi,The Left,298,2
143,Fabio De Masi,The Left,299,1
143,Fabio De Masi,The Left,338,6
143,Fabio De Masi,The Left,399,2
143,Fabio De Masi,The Left,414,1
143,Fabio De Masi,The Left,47,5
143,Fabio De Masi,The Left,68,1
143,Fabio De Masi,The Left,84,1
144,Yasmin Fahimi,SPD,149,1
144,Yasmin Fahimi,SPD,393,1
144,Yasmin Fahimi,SPD,42,1
144,Yasmin Fahimi,SPD,463,1
144,Yasmin Fahimi,SPD,75,1
146,Franziska Brantner,Greens,10,1
146,Franziska Brantner,Greens,184,1
146,Franziska Brantner,Greens,283,1
146,Franziska Brantner,Greens,430,1
146,Franziska Brantner,Greens,553,1
146,Franziska Brantner,Greens,83,1
149,FDP Bundestag,FDP,119,1
149,FDP Bundestag,FDP,141,1
149,FDP Bundestag,FDP,185,1
149,FDP Bundestag,FDP,212,1
149,FDP Bundestag,FDP,244,1
149,FDP Bundestag,FDP,260,1
149,FDP Bundestag,FDP,463,2
149,FDP Bundestag,FDP,494,2
149,FDP Bundestag,FDP,67,1
149,FDP Bundestag,FDP,68,1
149,FDP Bundestag,FDP,78,1
15,Alexander Neu,The Left,376,1
15,Alexander Neu,The Left,463,1
15,Alexander Neu,The Left,539,1
15,Alexander Neu,The Left,71,2
151,Felix Schreiner,CDU,67,2
153,Filiz Polat,Greens,36,1
155,Florian Toncar,FDP,143,1
155,Florian Toncar,FDP,395,2
162,Frank Schwabe,SPD,177,1
162,Frank Schwabe,SPD,203,1
162,Frank Schwabe,SPD,223,1
162,Frank Schwabe,SPD,259,1
162,Frank Schwabe,SPD,283,3
162,Frank Schwabe,SPD,289,1
162,Frank Schwabe,SPD,316,1
162,Frank Schwabe,SPD,352,2
162,Frank Schwabe,SPD,354,1
162,Frank Schwabe,SPD,363,1
162,Frank Schwabe,SPD,386,1
162,Frank Schwabe,SPD,395,1
162,Frank Schwabe,SPD,463,1
162,Frank Schwabe,SPD,47,2
166,Fritz Felgentreu,SPD,10,2
166,Fritz Felgentreu,SPD,125,1
166,Fritz Felgentreu,SPD,17,1
166,Fritz Felgentreu,SPD,204,2
166,Fritz Felgentreu,SPD,209,1
166,Fritz Felgentreu,SPD,240,1
166,Fritz Felgentreu,SPD,259,2
166,Fritz Felgentreu,SPD,275,1
166,Fritz Felgentreu,SPD,293,1
166,Fritz Felgentreu,SPD,295,1
166,Fritz Felgentreu,SPD,316,1
166,Fritz Felgentreu,SPD,335,4
166,Fritz Felgentreu,SPD,352,6
166,Fritz Felgentreu,SPD,363,3
166,Fritz Felgentreu,SPD,384,1
166,Fritz Felgentreu,SPD,386,1
166,Fritz Felgentreu,SPD,392,1
166,Fritz Felgentreu,SPD,414,10
166,Fritz Felgentreu,SPD,457,1
166,Fritz Felgentreu,SPD,502,6
166,Fritz Felgentreu,SPD,503,1
166,Fritz Felgentreu,SPD,540,1
166,Fritz Felgentreu,SPD,75,1
166,Fritz Felgentreu,SPD,78,1
167,Markus Frohnmaier,AfD,406,1
167,Markus Frohnmaier,AfD,7,1
168,Friedrich Straetmanns,The Left,385,1
17,Alexander Müller,FDP,104,1
170,Gabriele Katzmarek,SPD,452,1
171,Ingo Gädechens,CDU,459,1
171,Ingo Gädechens,CDU,517,1
175,Gerold Otten,AfD,202,1
175,Gerold Otten,AfD,503,1
177,Katrin Göring-Eckardt,Greens,10,1
177,Katrin Göring-Eckardt,Greens,228,1
177,Katrin Göring-Eckardt,Greens,244,1
177,Katrin Göring-Eckardt,Greens,283,1
177,Katrin Göring-Eckardt,Greens,309,5
177,Katrin Göring-Eckardt,Greens,338,1
177,Katrin Göring-Eckardt,Greens,365,1
177,Katrin Göring-Eckardt,Greens,397,1
177,Katrin Göring-Eckardt,Greens,68,1
177,Katrin Göring-Eckardt,Greens,94,1
180,Hermann Gröhe,CDU,139,1
180,Hermann Gröhe,CDU,452,1
180,Hermann Gröhe,CDU,77,1
181,Markus Grübel,CDU,208,1
182,Claudia Müller,Greens,10,1
182,Claudia Müller,Greens,119,1
182,Claudia Müller,Greens,131,1
182,Claudia Müller,Greens,217,1
182,Claudia Müller,Greens,237,1
182,Claudia Müller,Greens,250,1
182,Claudia Müller,Greens,252,1
182,Claudia Müller,Greens,299,1
182,Claudia Müller,Greens,309,1
182,Claudia Müller,Greens,428,2
182,Claudia Müller,Greens,459,1
182,Claudia Müller,Greens,47,1
182,Claudia Müller,Greens,480,1
182,Claudia Müller,Greens,498,1
182,Claudia Müller,Greens,547,7
182,Claudia Müller,Greens,59,1
182,Claudia Müller,Greens,78,2
182,Claudia Müller,Greens,84,1
183,Beate Müller-Gemmeke,Greens,323,1
183,Beate Müller-Gemmeke,Greens,82,1
184,Die Gruenen Bundestag,Greens,10,1
184,Die Gruenen Bundestag,Greens,115,1
184,Die Gruenen Bundestag,Greens,136,1
184,Die Gruenen Bundestag,Greens,146,1
184,Die Gruenen Bundestag,Greens,177,1
184,Die Gruenen Bundestag,Greens,190,2
184,Die Gruenen Bundestag,Greens,218,2
184,Die Gruenen Bundestag,Greens,252,3
184,Die Gruenen Bundestag,Greens,265,1
184,Die Gruenen Bundestag,Greens,278,1
184,Die Gruenen Bundestag,Greens,284,1
184,Die Gruenen Bundestag,Greens,3,2
184,Die Gruenen Bundestag,Greens,309,1
184,Die Gruenen Bundestag,Greens,391,1
184,Die Gruenen Bundestag,Greens,397,1
184,Die Gruenen Bundestag,Greens,430,1
184,Die Gruenen Bundestag,Greens,469,1
184,Die Gruenen Bundestag,Greens,486,1
184,Die Gruenen Bundestag,Greens,487,2
184,Die Gruenen Bundestag,Greens,525,2
184,Die Gruenen Bundestag,Greens,536,1
184,Die Gruenen Bundestag,Greens,59,1
184,Die Gruenen Bundestag,Greens,78,1
184,Die Gruenen Bundestag,Greens,82,1
185,Götz Frömming,AfD,149,1
185,Götz Frömming,AfD,159,1
185,Götz Frömming,AfD,228,2
185,Götz Frömming,AfD,232,3
185,Götz Frömming,AfD,260,1
185,Götz Frömming,AfD,387,1
185,Götz Frömming,AfD,406,1
185,Götz Frömming,AfD,459,1
185,Götz Frömming,AfD,468,1
185,Götz Frömming,AfD,522,1
185,Götz Frömming,AfD,77,1
185,Götz Frömming,AfD,8,1
189,Gyde Jensen,FDP,316,1
189,Gyde Jensen,FDP,335,1
189,Gyde Jensen,FDP,67,1
191,Harald Weyel,AfD,142,3
191,Harald Weyel,AfD,176,1
191,Harald Weyel,AfD,178,2
191,Harald Weyel,AfD,232,2
191,Harald Weyel,AfD,260,2
191,Harald Weyel,AfD,317,1
191,Harald Weyel,AfD,376,1
191,Harald Weyel,AfD,442,1
191,Harald Weyel,AfD,45,3
191,Harald Weyel,AfD,451,1
191,Harald Weyel,AfD,468,4
191,Harald Weyel,AfD,507,2
191,Harald Weyel,AfD,77,1
191,Harald Weyel,AfD,8,1
192,Thomas Hacker,FDP,149,1
193,Florian Hahn,CSU,119,2
193,Florian Hahn,CSU,290,1
193,Florian Hahn,CSU,78,1
2,Angelika Glöckner,SPD,215,1
2,Angelika Glöckner,SPD,395,1
202,Heiko Maas,SPD,203,1
203,Helge Lindh,SPD,32,1
203,Helge Lindh,SPD,518,1
204,Wolfgang Hellmich,SPD,101,1
204,Wolfgang Hellmich,SPD,118,1
204,Wolfgang Hellmich,SPD,166,2
204,Wolfgang Hellmich,SPD,202,1
205,Markus Herbrand,FDP,139,1
205,Markus Herbrand,FDP,143,1
206,Marcel Emmerich,Greens,354,1
207,Evrim Sommer,The Left,298,1
208,Heribert Hirte,CDU,143,1
208,Heribert Hirte,CDU,189,1
208,Heribert Hirte,CDU,256,1
208,Heribert Hirte,CDU,289,1
208,Heribert Hirte,CDU,309,1
208,Heribert Hirte,CDU,403,1
208,Heribert Hirte,CDU,539,1
208,Heribert Hirte,CDU,58,1
208,Heribert Hirte,CDU,77,1
208,Heribert Hirte,CDU,78,1
21,Amira Mohamed Ali,The Left,298,1
211,Alexander Hoffmann,CSU,281,1
212,Christoph Hoffmann,FDP,1,1
212,Christoph Hoffmann,FDP,139,1
212,Christoph Hoffmann,FDP,141,1
212,Christoph Hoffmann,FDP,142,1
212,Christoph Hoffmann,FDP,149,4
212,Christoph Hoffmann,FDP,177,1
212,Christoph Hoffmann,FDP,189,1
212,Christoph Hoffmann,FDP,202,1
212,Christoph Hoffmann,FDP,205,1
212,Christoph Hoffmann,FDP,212,1
212,Christoph Hoffmann,FDP,225,1
212,Christoph Hoffmann,FDP,228,1
212,Christoph Hoffmann,FDP,245,1
212,Christoph Hoffmann,FDP,260,2
212,Christoph Hoffmann,FDP,283,2
212,Christoph Hoffmann,FDP,398,1
212,Christoph Hoffmann,FDP,409,1
212,Christoph Hoffmann,FDP,426,2
212,Christoph Hoffmann,FDP,506,1
212,Christoph Hoffmann,FDP,527,1
212,Christoph Hoffmann,FDP,83,2
212,Christoph Hoffmann,FDP,97,1
213,Reinhard Houben,FDP,335,1
213,Reinhard Houben,FDP,409,1
213,Reinhard Houben,FDP,77,1
215,Hubertus Heil,SPD,109,1
215,Hubertus Heil,SPD,354,1
215,Hubertus Heil,SPD,395,1
215,Hubertus Heil,SPD,68,1
217,Ingrid Nestle,Greens,409,2
217,Ingrid Nestle,Greens,77,1
218,Irene Mihalic,Greens,284,1
218,Irene Mihalic,Greens,316,1
218,Irene Mihalic,Greens,331,2
218,Irene Mihalic,Greens,35,1
219,Isabel Mackensen-Geis,SPD,129,1
219,Isabel Mackensen-Geis,SPD,502,1
22,Andreas Wagner (politician),The Left,174,1
22,Andreas Wagner (politician),The Left,203,2
22,Andreas Wagner (politician),The Left,228,1
22,Andreas Wagner (politician),The Left,259,1
22,Andreas Wagner (politician),The Left,32,1
22,Andreas Wagner (politician),The Left,78,1
220,Fabian Jacobi,AfD,202,1
220,Fabian Jacobi,AfD,316,1
220,Fabian Jacobi,AfD,338,1
220,Fabian Jacobi,AfD,385,1
220,Fabian Jacobi,AfD,418,1
220,Fabian Jacobi,AfD,463,1
220,Fabian Jacobi,AfD,492,1
220,Fabian Jacobi,AfD,68,1
220,Fabian Jacobi,AfD,7,1
221,Jan Nolte,AfD,247,1
221,Jan Nolte,AfD,316,1
221,Jan Nolte,AfD,395,1
221,Jan Nolte,AfD,526,1
223,Jan Korte,The Left,202,1
223,Jan Korte,The Left,47,1
225,Jens Brandenburg,FDP,141,1
225,Jens Brandenburg,FDP,182,1
225,Jens Brandenburg,FDP,256,3
225,Jens Brandenburg,FDP,487,3
225,Jens Brandenburg,FDP,525,1
228,Jens Spahn,CDU,260,1
229,Jens Zimmermann,SPD,260,1
229,Jens Zimmermann,SPD,352,2
229,Jens Zimmermann,SPD,363,1
229,Jens Zimmermann,SPD,463,1
229,Jens Zimmermann,SPD,465,1
229,Jens Zimmermann,SPD,502,2
229,Jens Zimmermann,SPD,506,2
229,Jens Zimmermann,SPD,68,1
231,Jan-Marco Luczak,CDU,171,1
231,Jan-Marco Luczak,CDU,283,1
231,Jan-Marco Luczak,CDU,430,4
231,Jan-Marco Luczak,CDU,479,1
231,Jan-Marco Luczak,CDU,68,1
232,Joana Cotar,AfD,119,1
232,Joana Cotar,AfD,127,1
232,Joana Cotar,AfD,139,1
232,Joana Cotar,AfD,177,1
232,Joana Cotar,AfD,185,4
232,Joana Cotar,AfD,202,2
232,Joana Cotar,AfD,203,2
232,Joana Cotar,AfD,228,1
232,Joana Cotar,AfD,237,4
232,Joana Cotar,AfD,260,3
232,Joana Cotar,AfD,266,1
232,Joana Cotar,AfD,268,1
232,Joana Cotar,AfD,283,3
232,Joana Cotar,AfD,3,1
232,Joana Cotar,AfD,316,1
232,Joana Cotar,AfD,376,1
232,Joana Cotar,AfD,385,1
232,Joana Cotar,AfD,395,1
232,Joana Cotar,AfD,40,1
232,Joana Cotar,AfD,406,1
232,Joana Cotar,AfD,414,1
232,Joana Cotar,AfD,430,1
232,Joana Cotar,AfD,45,1
232,Joana Cotar,AfD,463,2
232,Joana Cotar,AfD,526,1
232,Joana Cotar,AfD,527,1
232,Joana Cotar,AfD,68,3
232,Joana Cotar,AfD,75,5
232,Joana Cotar,AfD,78,2
236,Johann Saathoff,SPD,113,1
236,Johann Saathoff,SPD,166,1
236,Johann Saathoff,SPD,463,1
237,Johannes Vogel,FDP,166,1
237,Johannes Vogel,FDP,177,1
237,Johannes Vogel,FDP,182,1
237,Johannes Vogel,FDP,215,1
237,Johannes Vogel,FDP,232,1
237,Johannes Vogel,FDP,255,1
237,Johannes Vogel,FDP,268,1
237,Johannes Vogel,FDP,275,1
237,Johannes Vogel,FDP,281,1
237,Johannes Vogel,FDP,283,5
237,Johannes Vogel,FDP,290,1
237,Johannes Vogel,FDP,335,4
237,Johannes Vogel,FDP,376,1
237,Johannes Vogel,FDP,399,1
237,Johannes Vogel,FDP,414,1
237,Johannes Vogel,FDP,467,1
237,Johannes Vogel,FDP,486,1
237,Johannes Vogel,FDP,487,1
237,Johannes Vogel,FDP,523,1
237,Johannes Vogel,FDP,547,1
237,Johannes Vogel,FDP,72,1
237,Johannes Vogel,FDP,98,1
239,Josephine Ortleb,SPD,502,1
24,Andreas Rimkus,SPD,113,1
24,Andreas Rimkus,SPD,139,1
24,Andreas Rimkus,SPD,156,1
24,Andreas Rimkus,SPD,166,1
24,Andreas Rimkus,SPD,203,1
24,Andreas Rimkus,SPD,215,1
24,Andreas Rimkus,SPD,229,1
24,Andreas Rimkus,SPD,250,1
24,Andreas Rimkus,SPD,259,1
24,Andreas Rimkus,SPD,275,1
24,Andreas Rimkus,SPD,316,1
24,Andreas Rimkus,SPD,373,3
24,Andreas Rimkus,SPD,42,1
24,Andreas Rimkus,SPD,443,1
24,Andreas Rimkus,SPD,454,1
24,Andreas Rimkus,SPD,463,2
24,Andreas Rimkus,SPD,464,2
24,Andreas Rimkus,SPD,465,1
24,Andreas Rimkus,SPD,480,1
24,Andreas Rimkus,SPD,498,1
24,Andreas Rimkus,SPD,502,1
24,Andreas Rimkus,SPD,506,2
