id,label,party
1,Martin Neumann,FDP
10,Agnieszka Brugger,Greens
100,Daniela Wagner,Greens
101,Dennis Rohde,SPD
103,Andreas Lenz,CSU
104,Daniel Föst,FDP
106,Die Gruenen,Greens
107,Die Linke,The Left
108,Dagmar Schmidt,SPD
109,Diether Dehm,The Left
11,Gökay Akbulut,The Left
110,Dietmar Bartsch,The Left
112,Dirk Spaniel,AfD
113,Dirk Wiese,SPD
114,Sabine Dittmar,SPD
115,Dieter Janecek,Greens
116,Bijan Djir-Sarai,FDP
117,Doris Achelwilm,The Left
118,Dorothee Martin,SPD
119,Dorothee Bär,CSU
120,Rainer Kraft,AfD
121,Roy Kühne,CDU
123,Andreas Nick,CDU
125,Joe Weingarten,SPD
127,Michael Espendiller,AfD
129,Harald Ebner,Greens
131,Ekin Deligöz,Greens
136,Erhard Grundl,Greens
137,Klaus Ernst,The Left
138,Erwin Rüddel,CDU
139,Saskia Esken,SPD
141,Michael Theurer,FDP
142,Frank Schäffler,FDP
143,Fabio De Masi,The Left
144,Yasmin Fahimi,SPD
145,Falko Mohrs,SPD
146,Franziska Brantner,Greens
147,FDP,FDP
149,FDP Bundestag,FDP
15,Alexander Neu,The Left
151,Felix Schreiner,CDU
153,Filiz Polat,Greens
155,Florian Toncar,FDP
156,Florian Post,SPD
159,Frank Pasemann,AfD
162,Frank Schwabe,SPD
166,Fritz Felgentreu,SPD
167,Markus Frohnmaier,AfD
168,Friedrich Straetmanns,The Left
17,Alexander Müller,FDP
170,Gabriele Katzmarek,SPD
171,Ingo Gädechens,CDU
172,Gabriela Heinrich,SPD
174,Gero Storjohann,CDU
175,Gerold Otten,AfD
176,Gitta Connemann,CDU
177,Katrin Göring-Eckardt,Greens
178,Gottfried Curio,AfD
179,Gregor Gysi,The Left
18,Alice Weidel,AfD
180,Hermann Gröhe,CDU
181,Markus Grübel,CDU
182,Claudia Müller,Greens
183,Beate Müller-Gemmeke,Greens
184,Die Gruenen Bundestag,Greens
185,Götz Frömming,AfD
189,Gyde Jensen,FDP
190,Gerhard Zickenheiner,Greens
191,Harald Weyel,AfD
192,Thomas Hacker,FDP
193,Florian Hahn,CSU
196,Harald Weinberg,The Left
198,Helge Braun,CDU
2,Angelika Glöckner,SPD
202,Heiko Maas,SPD
203,Helge Lindh,SPD
204,Wolfgang Hellmich,SPD
205,Markus Herbrand,FDP
206,Marcel Emmerich,Greens
207,Evrim Sommer,The Left
208,Heribert Hirte,CDU
209,Hilde Mattheis,SPD
21,Amira Mohamed Ali,The Left
211,Alexander Hoffmann,CSU
212,Christoph Hoffmann,FDP
213,Reinhard Houben,FDP
215,Hubertus Heil,SPD
216,Ingmar Jung,CDU
217,Ingrid Nestle,Greens
218,Irene Mihalic,Greens
219,Isabel Mackensen-Geis,SPD
22,Andreas Wagner (politician),The Left
220,Fabian Jacobi,AfD
221,Jan Nolte,AfD
222,Jana Schimke,CDU
223,Jan Korte,The Left
225,Jens Brandenburg,FDP
227,Jens Koeppen,CDU
228,Jens Spahn,CDU
229,Jens Zimmermann,SPD
231,Jan-Marco Luczak,CDU
232,Joana Cotar,AfD
234,Jörg Cezanne,The Left
236,Johann Saathoff,SPD
237,Johannes Vogel,FDP
239,Josephine Ortleb,SPD
24,Andreas Rimkus,SPD
240,Josip Juratovic,SPD
241,Johannes Steiniger,CDU
242,Johann Wadephul,CDU
244,Jürgen Trittin,Greens
245,Judith Skudelny,FDP
247,Jürgen Braun,AfD
248,Jürgen Hardt,CDU
249,Julia Verlinden,Greens
25,Andreas Bleck,AfD
250,Frank Junge,SPD
251,Jutta Krellmann,The Left
252,Kordula Schulz-Asche,Greens
253,Katharina Willkomm,FDP
254,Oliver Kaczmarek,SPD
255,Kai Whittaker,CDU
256,Kai Gehring[210],Greens
259,Karamba Diaby,SPD
26,Andreas Scheuer,CSU
260,Karl Lauterbach,SPD
263,Katharina Dröge,Greens
264,Katja Dörner,Greens
265,Katja Keul,Greens
266,Katja Kipping,The Left
267,Katja Mast,SPD
268,Katja Suding,FDP
269,Katrin Staffler,CSU
27,Andreas Steier,CDU
270,Katrin Werner,The Left
271,Katrin Helling-Plahr,FDP
272,Kay Gottschalk,AfD
273,Klaus-Dieter Gröhler,CDU
275,Kerstin Griese,SPD
276,Jens Kestner,AfD
278,Kirsten Kappert-Gonther,Greens
279,Kirsten Tackmann,The Left
28,Andrej Hunko,The Left
280,Klaus Mindrup,SPD
281,Katja Leikert,CDU
282,Lukas Köhler,FDP
283,Konstantin Kuhle,FDP
284,Konstantin von Notz,Greens
287,Kristina Nordt,CDU
288,Alexander Graf Lambsdorff,FDP
289,Lars Castellucci,SPD
290,Lars Klingbeil,SPD
293,Leni Breymaier,SPD
294,Lorenz Gösta Beutin,The Left
295,Canan Bayram,Greens
296,Linda Teuteberg,FDP
297,Sören Pellmann,The Left
298,Die Linke Bundestag,The Left
299,Lisa Paus,Greens
3,Annalena Baerbock,Greens
30,Anja Karliczek,CDU
300,Gesine Lötzsch,The Left
301,Lothar Binding,SPD
303,Martin Reichardt,AfD
304,Marianne Schieder,SPD
305,Karin Maag,CDU
306,Maik Beermann,CDU
307,Gisela Manderla,CDU
309,Manuela Rottmann,Greens
31,Anja Weisgerber,CSU
310,Manuel Höferlin,FDP
311,Manuel Sarrazin,Greens
312,Marc Jongen,AfD
314,Marc Henrichmann,CDU
316,Marco Buschmann,FDP
317,Marcus Bühl,AfD
318,Marcus Faber,FDP
32,Anke Domscheit-Berg,The Left
321,Margarete Bause,Greens
322,Margit Stumpp,Greens
323,Maria Klein-Schmeink,Greens
324,Marian Wendt,CDU
325,Marja-Liisa Völlers,SPD
326,Markus Kurth,Greens
327,Markus Paschke,SPD
329,Martin Hess,AfD
33,Anna Christmann,Greens
330,Martin Sichert,AfD
331,Martina Renner,The Left
333,Martin Rosemann,SPD
334,Martin Schulz,SPD
335,Marie-Agnes Strack-Zimmermann,FDP
336,Christoph Matschie,SPD
337,Matthias Gastel,Greens
338,Matthias Hauer,CDU
34,Antje Tillmann,CDU
340,Matthias Höhn,The Left
341,Matthias Nölke,FDP
342,Marc Biadacz,CDU
344,Eva Schreiber,The Left
346,Karsten Klein,FDP
35,Armin Schuster,CDU
351,Michael Meister,CDU
352,Metin Hakverdi,SPD
353,Christoph Meyer,FDP
354,Michael Grosse-Brömer,CDU
355,Michelle Müntefering,SPD
356,Michael Georg Link,FDP
357,Michael Thews,SPD
36,Annette Widmann-Mauz,CDU
361,Michel Brandt,The Left
363,Michael Roth,SPD
364,Michael Schrodi,SPD
365,Monika Lazar,Greens
366,Martin Patzelt,CDU
367,Andreas Mrosek,AfD
369,Manfred Todtenhausen,FDP
371,Sepp Müller,CDU
373,Detlef Müller,SPD
374,Michael von Abercron,CDU
375,Matthias W. Birkwald,The Left
376,Norbert Röttgen,CDU
377,Nadine Schön,CDU
380,Nicole Bauer,FDP
381,Nicole Höchst,AfD
382,Nicole Gohlke,The Left
383,Nicole Westig,FDP
384,Niels Annen,SPD
385,Niema Movassat,The Left
386,Nils Schmid,SPD
387,Nina Scheer,SPD
388,Nina Warken,CDU
390,Norbert Müller,The Left
391,Omid Nouripour,Greens
392,Mahmut Özdemir,SPD
393,Aydan Özoğuz,SPD
394,Olaf in der Beek,FDP
395,Olaf Scholz,SPD
396,Olav Gutting,CDU
397,Oliver Krischer,Greens
398,Oliver Luksic,FDP
399,Otto Fricke,FDP
4,Achim Post,SPD
40,Bernd Riexinger,The Left
400,Ottmar von Holtz,Greens
402,Pascal Meiser,The Left
403,Patrick Sensburg,CDU
406,Paul Ziemiak,CDU
407,Peter Beyer,CDU
408,Peter Stein,CDU
409,Peter Altmaier,CDU
41,Lisa Badum,Greens
411,Peter Boehringer,AfD
412,Peter Felser,AfD
413,Peter Heidt,FDP
414,Peter Tauber,CDU
416,Petra Sitte,The Left
417,Petra Pau,The Left
418,Petr Bystron,AfD
42,Bärbel Bas,SPD
420,Jürgen Pohl,AfD
423,Patrick Schnieder,CDU
424,Roland Hartwig,AfD
426,Ralph Brinkhaus,CDU
428,Hagen Reinhold,FDP
43,Bärbel Kofler,SPD
430,Renate Künast,Greens
432,Martin Renner,AfD
433,Bernd Reuther,FDP
434,Rita Schwarzelühr-Sutter,SPD
437,Roderich Kiesewetter,CDU
438,Ronja Kemmer,CDU
44,Beate Walter-Rosenheimer,Greens
441,Sarah Ryglewski,SPD
442,Sebastian Münzenmaier,AfD
443,Stefan Schwartze,SPD
444,Sabine Leidig,The Left
446,Sandra Weeser,FDP
447,Saskia Ludwig,CDU
448,Simone Barrientos,The Left
45,Beatrix von Storch,AfD
451,Jörg Schneider,AfD
452,Carsten Schneider,SPD
453,Andreas Schwarz,SPD
454,Sebastian Hartmann,SPD
455,Sevim Dağdelen,The Left
457,Siemtje Möller,SPD
458,Thomas Silberhorn,CSU
459,Stefan Müller,CSU
46,Bela Bach,SPD
460,Sönke Rix,SPD
461,Sören Bartol,SPD
462,Hermann Otto Solms,FDP
463,SPD Bundestag,SPD
464,SPD,SPD
465,Svenja Stadler,SPD
467,Bettina Stark-Watzinger,FDP
468,Stephan Brandner,AfD
469,Stefan Gelbhaar,Greens
47,Stefan Liebich,The Left
470,Stefan Kaufmann,CDU
473,Steffen Bilger,CDU
476,Steffi Lemke,Greens
478,Albert Stegemann,CDU
479,Sebastian Steineke,CDU
48,Bernd Baumann,AfD
480,Stephan Kühn,Greens
481,Stephan Thomae,FDP
483,Mathias Stein,SPD
484,Susanne Ferschl,The Left
486,Sven-Christian Kindler,Greens
487,Sven Lehmann,Greens
492,Tabea Rößner,Greens
493,Thomas Erndl,CSU
494,Thomas Sattelberger,FDP
495,Thomas Seitz,AfD
496,Frank Müller-Rosentritt,FDP
498,Thomas Bareiß,CDU
5,Achim Kessler,The Left
50,Bernd Westphal,SPD
500,Thomas Gebhart,CDU
501,Thomas Heilmann,CDU
502,Thomas Hitschler,SPD
503,Thomas Oppermann,SPD
504,Thorsten Frei,CDU
506,Timon Gremmels,SPD
507,Tino Chrupalla,AfD
508,Tino Sorge,CDU
509,Thomas Jarzombek,CDU
510,Tobias Lindner,Greens
511,Tobias Peterka,AfD
512,Markus Töns,SPD
513,Anton Hofreiter,Greens
515,Torsten Herbst,FDP
516,Tobias Pflüger,The Left
517,Tankred Schipanski,CDU
518,Udo Hemmelgarn,AfD
52,Bettina Müller,SPD
522,Uli Grötsch,SPD
523,Ulla Ihnen,FDP
524,Ulla Jelpke,The Left
525,Ulle Schauws,Greens
526,Ulli Nissen,SPD
527,Andrew Ullmann,FDP
53,Bettina Hoffmann,Greens
530,Ulrich Lechte,FDP
532,Ute Vogt,SPD
534,Uwe Schulz,AfD
536,Uwe Kekeritz,Greens
537,Victor Perli,The Left
539,Kathrin Vogler,The Left
54,Birke Bull-Bischoff,The Left
540,Volker Ullrich,CSU
545,Wolfgang Strengmann-Kuhn,Greens
547,Marco Wanderwitz,CDU
548,Wiebke Esdar,SPD
550,Uwe Witt,AfD
553,Wieland Schinnenburg,FDP
556,Hubertus Zdebel,The Left
56,Mario Brandenburg,FDP
58,Sebastian Brehm,CSU
59,Britta Haßelmann,Greens
6,AfD,AfD
61,Karl-Heinz Brunner,SPD
62,Benjamin Strasser,FDP
63,Sandra Bubendorfer-Licht,FDP
66,Christoph Bernstiel,CDU
67,Christian Jung,FDP
68,Christian Lindner,FDP
69,Christine Aschenberg-Dugnus,FDP
7,AfD Bundestag,AfD
70,Cansel Kiziltepe,SPD
71,Caren Lay,The Left
72,Carina Konrad,FDP
74,Carsten Träger,SPD
75,CDU,CDU
77,CDU CSU Bundestag,CDU
78,Cem Özdemir,Greens
79,Christine Buchholz,The Left
8,Stephan Protschka,AfD
82,Christian Kühn,Greens
83,Christian Dürr,FDP
84,Christian Hirte,CDU
85,Christian Lange,SPD
86,Christoph Ploß,CDU
87,Christian Wirth,AfD
9,Grigorios Aggelidis,FDP
90,Cornelia Möhring,The Left
93,Corinna Rüffer,Greens
94,CSU,CSU
96,Dagmar Freitag,SPD
97,Daniela Kluckert,FDP
98,Daniela Kolbe,SPD
99,Daniela Ludwig,CSU
